PM2_5_ISPU,PM10_ISPU,CO_ISPU,NO2_ISPU,O3_ISPU,Kualitas_Udara
12,85,74,81,40,Sedang
135,137,46,4,23,Tidak_Sehat
9,19,69,7,144,Tidak_Sehat
2,79,85,84,9,Sedang
32,24,13,10,34,Baik
3,15,23,15,1,Baik
38,48,11,40,46,Baik
31,97,42,124,179,Tidak_Sehat
139,81,8,47,190,Tidak_Sehat
69,82,26,81,23,Sedang
7,129,144,51,171,Tidak_Sehat
44,41,24,17,39,Baik
13,3,22,41,19,Baik
44,34,47,8,7,Baik
37,43,178,96,239,Sangat_Tidak_Sehat
282,207,209,0,64,Sangat_Tidak_Sehat
28,18,10,80,70,Sedang
225,85,28,59,246,Sangat_Tidak_Sehat
76,38,88,18,87,Sedang
76,72,76,75,43,Sedang
50,21,46,3,27,Baik
184,29,185,106,201,Sangat_Tidak_Sehat
33,86,94,97,83,Sedang
23,14,47,6,20,Baik
423,105,205,246,322,Berbahaya
14,34,27,6,31,Baik
122,483,293,142,157,Berbahaya
43,46,9,29,24,Baik
370,336,86,498,292,Berbahaya
29,17,1,48,12,Baik
27,0,50,63,7,Sedang
23,2,19,45,14,Baik
352,126,320,79,175,Berbahaya
306,17,234,156,210,Berbahaya
75,15,47,60,14,Sedang
51,115,33,103,0,Tidak_Sehat
242,196,81,144,195,Sangat_Tidak_Sehat
467,267,288,185,11,Berbahaya
377,378,440,91,22,Berbahaya
35,80,87,189,129,Tidak_Sehat
122,233,67,72,135,Sangat_Tidak_Sehat
386,73,89,334,165,Berbahaya
13,38,26,8,14,Baik
3,32,13,20,47,Baik
24,29,8,20,19,Baik
179,49,222,22,217,Sangat_Tidak_Sehat
295,145,236,85,166,Sangat_Tidak_Sehat
354,438,295,297,327,Berbahaya
148,123,42,214,148,Sangat_Tidak_Sehat
184,95,110,148,184,Tidak_Sehat
410,40,442,2,93,Berbahaya
239,164,333,156,383,Berbahaya
126,62,44,72,78,Tidak_Sehat
111,68,162,15,93,Tidak_Sehat
68,73,55,3,22,Sedang
56,279,155,112,46,Sangat_Tidak_Sehat
42,39,51,50,10,Sedang
25,33,2,49,11,Baik
20,45,15,67,28,Sedang
148,122,137,32,139,Tidak_Sehat
63,70,118,128,40,Tidak_Sehat
134,322,219,129,31,Berbahaya
142,316,243,231,472,Berbahaya
180,214,143,237,146,Sangat_Tidak_Sehat
4,41,38,40,27,Baik
32,110,58,51,5,Tidak_Sehat
268,66,198,191,1,Sangat_Tidak_Sehat
169,66,47,160,35,Tidak_Sehat
106,287,245,88,202,Sangat_Tidak_Sehat
340,24,38,341,4,Berbahaya
63,22,61,53,28,Sedang
44,19,0,7,45,Baik
18,13,25,3,24,Baik
11,22,41,21,20,Baik
59,39,35,93,78,Sedang
25,141,1,54,103,Tidak_Sehat
4,47,19,36,2,Baik
119,111,175,129,142,Tidak_Sehat
133,73,81,18,70,Tidak_Sehat
272,86,292,177,284,Sangat_Tidak_Sehat
139,270,278,196,261,Sangat_Tidak_Sehat
178,124,268,146,110,Sangat_Tidak_Sehat
57,336,341,471,289,Berbahaya
1,72,1,73,90,Sedang
65,58,218,276,140,Sangat_Tidak_Sehat
70,27,15,36,20,Sedang
48,48,37,4,7,Baik
39,37,9,34,50,Baik
374,253,60,346,350,Berbahaya
0,297,201,139,145,Sangat_Tidak_Sehat
41,284,228,425,242,Berbahaya
0,23,6,24,20,Baik
4,32,0,17,31,Baik
97,13,62,60,30,Sedang
9,24,17,18,35,Baik
218,420,318,447,187,Berbahaya
102,66,132,119,21,Tidak_Sehat
12,202,121,220,146,Sangat_Tidak_Sehat
3,19,31,35,49,Baik
46,21,22,1,26,Baik
90,28,66,77,24,Sedang
25,54,38,71,13,Sedang
159,46,94,140,77,Tidak_Sehat
63,238,15,51,316,Berbahaya
33,37,45,3,37,Baik
32,46,39,42,11,Baik
38,15,21,20,20,Baik
14,61,82,27,80,Sedang
342,462,453,186,142,Berbahaya
98,37,40,44,87,Sedang
34,45,41,67,48,Sedang
2,58,11,48,60,Sedang
375,9,120,288,164,Berbahaya
18,46,27,39,19,Baik
165,80,104,127,70,Tidak_Sehat
128,107,67,65,259,Sangat_Tidak_Sehat
33,99,93,113,65,Tidak_Sehat
27,73,102,80,89,Tidak_Sehat
44,23,14,28,7,Baik
13,151,49,181,103,Tidak_Sehat
56,61,8,1,7,Sedang
60,42,60,19,47,Sedang
212,428,383,179,316,Berbahaya
19,24,3,9,2,Baik
148,12,130,18,141,Tidak_Sehat
101,92,315,101,405,Berbahaya
15,65,186,81,130,Tidak_Sehat
317,205,113,5,277,Berbahaya
194,104,147,147,126,Tidak_Sehat
117,121,207,59,124,Sangat_Tidak_Sehat
124,259,317,238,179,Berbahaya
289,120,2,226,78,Sangat_Tidak_Sehat
49,76,15,53,42,Sedang
54,60,5,16,50,Sedang
173,166,196,245,81,Sangat_Tidak_Sehat
284,255,317,414,116,Berbahaya
228,312,268,130,248,Berbahaya
86,239,281,56,112,Sangat_Tidak_Sehat
40,7,25,28,9,Baik
42,42,47,10,50,Baik
125,97,135,212,47,Sangat_Tidak_Sehat
23,183,208,224,17,Sangat_Tidak_Sehat
132,167,416,244,276,Berbahaya
117,35,80,251,33,Sangat_Tidak_Sehat
452,402,330,456,465,Berbahaya
43,180,76,117,211,Sangat_Tidak_Sehat
113,93,74,12,23,Tidak_Sehat
